Model,Condition,Erasure(%),Bit_Flip(%),Eff_BPP,PSNR,SSIM
JPEG,Quality_10,0,0.0,0.4251,30.91,0.0
JPEG,Quality_30,0,0.0,0.769,32.7,0.0
JPEG,Quality_50,0,0.0,1.0231,33.53,0.0
JPEG,Quality_70,0,0.0,1.3586,34.38,0.0
JPEG,Quality_90,0,0.0,2.4558,36.3,0.0
Standard_VQVAE,E_0%_BF_0.0%,0,0.0,0.125,15.94,0.4155
Standard_VQVAE,E_0%_BF_0.5%,0,0.5,0.125,10.18,0.1583
Standard_VQVAE,E_0%_BF_1.0%,0,1.0,0.125,10.37,0.1635
Standard_VQVAE,E_0%_BF_2.0%,0,2.0,0.125,10.64,0.1675
Standard_VQVAE,E_10%_BF_0.0%,10,0.0,0.1125,15.86,0.4093
Standard_VQVAE,E_10%_BF_0.5%,10,0.5,0.1125,10.14,0.1569
Standard_VQVAE,E_10%_BF_1.0%,10,1.0,0.1125,10.31,0.1613
Standard_VQVAE,E_10%_BF_2.0%,10,2.0,0.1125,10.58,0.1677
Standard_VQVAE,E_20%_BF_0.0%,20,0.0,0.1,15.75,0.4022
Standard_VQVAE,E_20%_BF_0.5%,20,0.5,0.1,10.12,0.1558
Standard_VQVAE,E_20%_BF_1.0%,20,1.0,0.1,10.29,0.1621
Standard_VQVAE,E_20%_BF_2.0%,20,2.0,0.1,10.54,0.1668
Standard_VQVAE,E_30%_BF_0.0%,30,0.0,0.0875,15.62,0.3929
Standard_VQVAE,E_30%_BF_0.5%,30,0.5,0.0875,10.08,0.1544
Standard_VQVAE,E_30%_BF_1.0%,30,1.0,0.0875,10.26,0.1622
Standard_VQVAE,E_30%_BF_2.0%,30,2.0,0.0875,10.47,0.1657
Standard_VQVAE,E_40%_BF_0.0%,40,0.0,0.075,15.44,0.3818
Standard_VQVAE,E_40%_BF_0.5%,40,0.5,0.075,10.1,0.1557
Standard_VQVAE,E_40%_BF_1.0%,40,1.0,0.075,10.21,0.1598
Standard_VQVAE,E_40%_BF_2.0%,40,2.0,0.075,10.39,0.1631
Standard_VQVAE,E_50%_BF_0.0%,50,0.0,0.0625,15.19,0.3669
Standard_VQVAE,E_50%_BF_0.5%,50,0.5,0.0625,10.05,0.1526
Standard_VQVAE,E_50%_BF_1.0%,50,1.0,0.0625,10.15,0.158
Standard_VQVAE,E_50%_BF_2.0%,50,2.0,0.0625,10.31,0.1628
Naive_Fusion,E_0%_BF_0.0%,0,0.0,0.125,20.39,0.5639
Naive_Fusion,E_0%_BF_0.5%,0,0.5,0.125,20.37,0.5632
Naive_Fusion,E_0%_BF_1.0%,0,1.0,0.125,20.34,0.5624
Naive_Fusion,E_0%_BF_2.0%,0,2.0,0.125,20.3,0.5609
Naive_Fusion,E_10%_BF_0.0%,10,0.0,0.1125,20.34,0.5624
Naive_Fusion,E_10%_BF_0.5%,10,0.5,0.1125,20.32,0.5617
Naive_Fusion,E_10%_BF_1.0%,10,1.0,0.1125,20.3,0.5611
