Rate_Profile,Erasure(%),Bit_Flip(%),Eff_BPP,PSNR,SSIM,Bound_WZ(BPP),Bound_Shannon(BPP)
rate_low,0,0.0,0.0312,22.08,0.7492,0.6817,2.0119
rate_low,0,0.5,0.0312,22.08,0.7492,0.6817,2.0119
rate_low,0,1.0,0.0312,22.08,0.7492,0.6817,2.0118
rate_low,0,2.0,0.0312,22.08,0.7492,0.6817,2.0119
rate_low,10,0.0,0.0281,22.08,0.7492,0.6816,2.0118
rate_low,10,0.5,0.0281,22.08,0.7492,0.6816,2.0118
rate_low,10,1.0,0.0281,22.08,0.7492,0.6816,2.0117
rate_low,10,2.0,0.0281,22.08,0.7492,0.6816,2.0118
rate_low,20,0.0,0.025,22.08,0.7492,0.6816,2.0117
rate_low,20,0.5,0.025,22.08,0.7492,0.6815,2.0117
rate_low,20,1.0,0.025,22.08,0.7492,0.6815,2.0117
rate_low,20,2.0,0.025,22.08,0.7492,0.6816,2.0117
rate_low,30,0.0,0.0219,22.08,0.7492,0.6816,2.0118
rate_low,30,0.5,0.0219,22.08,0.7492,0.6814,2.0116
rate_low,30,1.0,0.0219,22.08,0.7492,0.6815,2.0116
rate_low,30,2.0,0.0219,22.08,0.7492,0.6814,2.0116
rate_low,40,0.0,0.0187,22.08,0.7492,0.6815,2.0117
rate_low,40,0.5,0.0187,22.08,0.7492,0.6814,2.0116
rate_low,40,1.0,0.0187,22.08,0.7492,0.6814,2.0116
rate_low,40,2.0,0.0187,22.08,0.7492,0.6814,2.0116
rate_low,50,0.0,0.0156,22.08,0.7492,0.6815,2.0117
rate_low,50,0.5,0.0156,22.08,0.7491,0.6815,2.0116
rate_low,50,1.0,0.0156,22.07,0.7491,0.6813,2.0115
rate_low,50,2.0,0.0156,22.08,0.7491,0.6814,2.0116
rate_mid,0,0.0,0.125,22.35,0.7588,0.7242,2.0544
rate_mid,0,0.5,0.125,22.35,0.7588,0.7238,2.054
rate_mid,0,1.0,0.125,22.35,0.7587,0.7231,2.0533
rate_mid,0,2.0,0.125,22.34,0.7586,0.7223,2.0525
rate_mid,10,0.0,0.1125,22.35,0.7587,0.7231,2.0532
rate_mid,10,0.5,0.1125,22.34,0.7586,0.7228,2.0529
rate_mid,10,1.0,0.1125,22.34,0.7586,0.7223,2.0525
rate_mid,10,2.0,0.1125,22.34,0.7585,0.7211,2.0513
rate_mid,20,0.0,0.1,22.34,0.7585,0.7218,2.052
rate_mid,20,0.5,0.1,22.34,0.7585,0.7212,2.0514
rate_mid,20,1.0,0.1,22.33,0.7584,0.7206,2.0508
rate_mid,20,2.0,0.1,22.33,0.7583,0.7197,2.0499
rate_mid,30,0.0,0.0875,22.33,0.7584,0.7207,2.0509
rate_mid,30,0.5,0.0875,22.33,0.7583,0.7198,2.05
rate_mid,30,1.0,0.0875,22.32,0.7582,0.7191,2.0493
rate_mid,30,2.0,0.0875,22.32,0.7581,0.7173,2.0475
rate_mid,40,0.0,0.075,22.32,0.7581,0.7182,2.0483
rate_mid,40,0.5,0.075,22.32,0.7581,0.7178,2.048
rate_mid,40,1.0,0.075,22.31,0.758,0.7168,2.047
rate_mid,40,2.0,0.075,22.31,0.7579,0.7155,2.0457
rate_mid,50,0.0,0.0625,22.31,0.7578,0.7153,2.0455
rate_mid,50,0.5,0.0625,22.3,0.7578,0.7149,2.0451
rate_mid,50,1.0,0.0625,22.3,0.7577,0.714,2.0442
rate_mid,50,2.0,0.0625,22.3,0.7576,0.7145,2.0447
rate_high,0,0.0,0.5,23.83,0.7825,0.9745,2.3046
rate_high,0,0.5,0.5,23.81,0.782,0.971,2.3012
rate_high,0,1.0,0.5,23.79,0.7816,0.9682,2.2984
rate_high,0,2.0,0.5,23.74,0.7806,0.9602,2.2903
rate_high,10,0.0,0.45,23.78,0.7816,0.9663,2.2965
rate_high,10,0.5,0.45,23.76,0.7812,0.9631,2.2933
rate_high,10,1.0,0.45,23.74,0.7807,0.9594,2.2896
rate_high,10,2.0,0.45,23.7,0.7797,0.9521,2.2823
rate_high,20,0.0,0.4,23.73,0.7805,0.9571,2.2872
rate_high,20,0.5,0.4,23.71,0.7801,0.9541,2.2843
rate_high,20,1.0,0.4,23.69,0.7796,0.9499,2.2801
rate_high,20,2.0,0.4,23.64,0.7787,0.9429,2.273
rate_high,30,0.0,0.35,23.67,0.7793,0.9476,2.2778
rate_high,30,0.5,0.35,23.64,0.7788,0.9423,2.2725
rate_high,30,1.0,0.35,23.63,0.7784,0.9396,2.2698
rate_high,30,2.0,0.35,23.57,0.7774,0.9303,2.2604
rate_high,40,0.0,0.3,23.59,0.7779,0.934,2.2642
rate_high,40,0.5,0.3,23.57,0.7774,0.9294,2.2596
rate_high,40,1.0,0.3,23.56,0.777,0.9276,2.2577
rate_high,40,2.0,0.3,23.5,0.776,0.9182,2.2484
rate_high,50,0.0,0.25,23.51,0.7763,0.919,2.2492
rate_high,50,0.5,0.25,23.48,0.7757,0.915,2.2452
rate_high,50,1.0,0.25,23.46,0.7753,0.9109,2.2411
rate_high,50,2.0,0.25,23.42,0.7743,0.9028,2.233
